Make,Model,Injury.Severity,Aircraft.damage,Total.Serious.Injuries,Total.Fatal.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Investigation.Type,Engine.Type
Piper,PA24-180,Fatal(4),Destroyed,0.0,4.0,0.0,UNK,Unknown,Accident,Reciprocating
Cessna,180,Fatal(4),Destroyed,0.0,4.0,0.0,IMC,Unknown,Accident,Reciprocating
Cessna,140,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Takeoff,Accident,Reciprocating
Cessna,401B,Non-Fatal,Substantial,0.0,0.0,2.0,IMC,Landing,Accident,Reciprocating
Piper,PA-28-161,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Approach,Accident,Reciprocating
Beech,V35B,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Bellanca,17-30A,Non-Fatal,Destroyed,0.0,0.0,0.0,IMC,Cruise,Accident,Reciprocating
Cessna,R172K,Fatal(1),Destroyed,0.0,1.0,0.0,IMC,Takeoff,Accident,Reciprocating
Beech,19,Fatal(2),Destroyed,0.0,2.0,0.0,IMC,Cruise,Accident,Reciprocating
Cessna,180,Fatal(3),Destroyed,0.0,3.0,0.0,VMC,Unknown,Accident,Reciprocating
Cessna,172,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Taxi,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Cessna,150L,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Approach,Accident,Reciprocating
Bell,206L-1,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Approach,Accident,Turbo Shaft
Piper,PA-24-180,Incident,Minor,0.0,0.0,1.0,VMC,Approach,Incident,Reciprocating
Grumman,AA-5B,Fatal(2),Destroyed,1.0,2.0,0.0,IMC,Descent,Accident,Reciprocating
Cessna,414A,Fatal(8),Destroyed,0.0,8.0,0.0,IMC,Approach,Accident,Reciprocating
Cessna,210L,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Descent,Accident,Reciprocating
Bellanca,7GCBC,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Maneuvering,Accident,Reciprocating
Cessna,182,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Approach,Accident,Reciprocating
Piper,PA-28-161,Fatal(4),Destroyed,0.0,4.0,0.0,VMC,Cruise,Accident,Reciprocating
Piper,PA-34-200T,Fatal(2),Destroyed,0.0,2.0,0.0,VMC,Cruise,Accident,Reciprocating
Cessna,T337G,Fatal(2),Destroyed,2.0,2.0,0.0,IMC,Cruise,Accident,Reciprocating
Piper,PA-28R-200,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Cruise,Accident,Reciprocating
Cessna,206,Fatal(1),Destroyed,0.0,1.0,0.0,VMC,Taxi,Accident,Reciprocating
Piper,PA-22,Fatal(1),Destroyed,0.0,1.0,0.0,IMC,Cruise,Accident,Reciprocating
Piper,PA-31,Fatal(2),Destroyed,0.0,2.0,0.0,VMC,Approach,Accident,Reciprocating
Piper,PA-24-250,Non-Fatal,Substantial,1.0,0.0,1.0,VMC,Descent,Accident,Reciprocating
Piper,PA-28R-200,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Cruise,Accident,Reciprocating
Cessna,TR182,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Taxi,Accident,Reciprocating
Cessna,A185F,Non-Fatal,Substantial,2.0,0.0,0.0,VMC,Takeoff,Accident,Reciprocating
Cessna,340,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Approach,Accident,Reciprocating
Beech,35,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Climb,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Approach,Accident,Reciprocating
Mooney,M-20J,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Takeoff,Accident,Reciprocating
Boeing,A75,Non-Fatal,Substantial,1.0,0.0,1.0,IMC,Cruise,Accident,Reciprocating
